manufacturer,category,model,part,part_category
Atlas-Copco,Other Parts,ROC F9-11,0017 2060 40,"CABLE, 1-CORE"
Atlas-Copco,Other Parts,ROC F9-11,0101 1626 00,PIN
Atlas-Copco,Other Parts,ROC F9-11,0111 1686 09,LOCKING CLIP
Atlas-Copco,Other Parts,ROC F9-11,0144 3489 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1207 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1219 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1243 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1244 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1247 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1248 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1250 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1252 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1258 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1322 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1323 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1326 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1328 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1334 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1360 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1362 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1363 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1365 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1371 03,"SCREW, HEX HEAD"
Atlas-Copco,Other Parts,ROC F9-11,0147 1379 03,"SCREW, HEX HEAD"
